scenario_id,fault_type,start_time_h,severity,profile,ramp_duration_h,sensor_noise_scale,random_seed
1,solar_array_degradation,1.8578696273508724,0.5839478994290928,gradual,0.49640042168643844,1.0161880007322384,1784288127
2,solar_array_degradation,3.310287673354348,0.3064119150938292,gradual,0.43864221388445546,1.475221650121793,1697242673
3,solar_array_degradation,3.3397003210745564,0.5815224824867908,gradual,0.6121229570578814,1.3694214437816776,1408617735
4,solar_array_degradation,2.177624906627524,0.36673952930009546,abrupt,0.0,1.1443626325089362,962673031
5,solar_array_degradation,2.361824121368863,0.5979083722835573,abrupt,0.0,1.0857764261540406,2127035310
6,solar_array_degradation,1.890795199743108,0.5569195226036318,gradual,0.4399932029961199,0.9070620909271647,784043180
7,solar_array_degradation,3.249248114384359,0.6784773893128597,gradual,0.47608046293383377,1.4601148432347362,1706388038
8,solar_array_degradation,2.365525479239904,0.7402697594025334,abrupt,0.0,1.2719961526003374,1209571223
9,solar_array_degradation,2.12764065452474,0.35693182778708,gradual,0.38231358312588615,1.1198327422386605,1015018987
10,solar_array_degradation,1.8778127295089169,0.6387443950150669,gradual,0.6972026077007502,1.0291082375976224,1245321088
11,solar_array_degradation,2.3403865198412674,0.4968978067502338,gradual,0.7405113782796986,1.1828831283721493,2012886388
12,solar_array_degradation,1.503604707213638,0.6764186364653026,gradual,0.46123573104901605,1.1249662668083955,893733070
13,solar_array_degradation,1.686891866989236,0.7428224435320119,gradual,0.2469881740124664,1.018673413943536,1505070953
14,solar_array_degradation,2.1284762624357656,0.5402298550186695,gradual,0.8193697261046999,1.4688483007230255,1567448648
15,solar_array_degradation,3.2767908526333533,0.5725612791200297,abrupt,0.0,1.4602965624837472,580401476
16,solar_array_degradation,2.0954189128417227,0.3689680958603575,gradual,0.5898904528580091,0.8196664115680854,50738825
17,solar_array_degradation,1.5257157754898607,0.5625894480641828,gradual,0.6811056970723209,1.1730178978991508,1229045380
18,solar_array_degradation,3.3367937157411935,0.31295429666141905,gradual,0.8301813010582269,1.2292696891672248,1911815705
19,solar_array_degradation,2.8192145349818984,0.5276361379403856,gradual,0.38661056496011104,1.1994869942021857,1575133673
20,solar_array_degradation,1.76952290324226,0.5693049646153203,gradual,0.8128290731730263,0.8007857704654054,1748179853
21,battery_degradation,2.7136287620684065,0.7142472139919882,gradual,0.4570701563628166,1.241847041941417,1289483439
22,battery_degradation,2.83718557682018,0.27700664086523213,abrupt,0.0,0.7745387836476865,726014153
23,battery_degradation,1.6678187779253817,0.532861771889904,abrupt,0.0,1.137061940728299,2116604520
24,battery_degradation,3.262372358699047,0.41303660875312326,abrupt,0.0,0.985250056172856,1416095787
