dataset,time_h,wheel_target_speed_rpm,wheel_speed_measured,wheel_current_measured,wheel_current_predicted,wheel_current_residual_a,wheel_temp_measured,wheel_temp_nominal_ref,wheel_temp_residual_c
nominal,0.0,3000.0,2993.4891024656886,0.1663471652837853,0.1678045585238111,-0.001457393240025806,24.95392816543449,24.979227572821976,-0.025299407387485928
nominal,0.0166666666666666,3103.95584540888,3057.61412873928,0.2020649808369438,0.18117492145767802,0.020890059379265774,24.890005079163533,24.95874847619419,-0.06874339703065857
nominal,0.0333333333333333,3203.3683215379,3124.2684743991504,0.2216352178947671,0.1922439959232712,0.02939122197149588,24.926183740138494,24.938546098704,-0.01236235856550394
nominal,0.05,3293.8926261462366,3212.936979148743,0.2314799016690466,0.1933155722121026,0.03816432945694401,24.886084351532592,24.91859755284336,-0.03251320131076696
nominal,0.0666666666666666,3371.572412738697,3286.976861051388,0.2153074672017467,0.1948944001515005,0.020413067050246203,24.950927083519133,24.89887966049316,0.05204742302597154
nominal,0.0833333333333333,3433.0127018922194,3363.188615647855,0.2180051240738408,0.19045949320310562,0.027545630870735166,24.89725667715055,24.879369033248576,0.01788764390197528
nominal,0.1,3475.5282581475767,3417.2133593241065,0.2023729163066978,0.18697599332344478,0.015396922983253014,24.80893149589708,24.860041723756545,-0.051110227859464175
nominal,0.1166666666666666,3497.2609476841367,3456.361906395086,0.1943870728370982,0.18148164858593768,0.012905424251160508,24.887771135724563,24.84087334921582,0.04689778650874388
nominal,0.1333333333333333,3497.2609476841367,3476.6921179901674,0.1745640298898728,0.17493505113815164,-0.0003710212482788411,24.731176654169797,24.82183963129007,-0.09066297712027449
nominal,0.15,3475.5282581475767,3477.38114733646,0.1706429844540182,0.1676011685412031,0.0030418159128151046,24.778169445820502,24.802917168998125,-0.024747723177622305
nominal,0.1666666666666666,3433.0127018922194,3457.235437790576,0.151596232994203,0.16017517063555922,-0.008578937641356227,24.785083823543115,24.7840842940449,0.000999529498216134
