dataset,time_h,battery_temp_measured,battery_temp_nominal_ref,battery_residual_c,electronics_temp_measured,electronics_temp_nominal_ref,electronics_residual_c
nominal,0.0,22.11639309371659,22.022336622077468,0.09405647163912079,23.827896481134616,24.023,-0.19510351886538402
nominal,0.0166666666666666,22.121861279071197,22.0440820855283,0.07777919354289864,24.05283489313776,24.046231823381635,0.006603069756124569
nominal,0.0333333333333333,22.060279591710188,22.06527218280881,-0.00499259109862038,24.051189205726207,24.069675442080733,-0.018486236354526397
nominal,0.05,22.122510491843528,22.08596608540712,0.036544406436409105,24.13456687020827,24.093293609048672,0.04127326115959917
nominal,0.0666666666666666,22.21914027694531,22.10624304767322,0.11289722927208956,24.10563880406175,24.11703354982724,-0.011394745765489489
nominal,0.0833333333333333,22.14941477647335,22.12619864416668,0.023216132306668413,24.15249791315026,24.140829332236187,0.011668580914072635
nominal,0.1,22.20906957922862,22.14594075664477,0.06312882258384889,24.018889228625323,24.16460481061089,-0.14571558198556644
nominal,0.1166666666666666,22.262413281232263,22.16558544577312,0.0968278354591412,24.01999003875516,24.18827701591674,-0.16828697716157848
nominal,0.1333333333333333,22.139017582885064,22.18525276215152,-0.04623517926645704,24.297557431705854,24.211759843580143,0.08579758812571114
nominal,0.15,22.274111025555715,22.20506249014894,0.06904853540677536,24.19224261323044,24.234967877864094,-0.04272526463365267
nominal,0.1666666666666666,22.186956001183347,22.22512979058318,-0.03817378939983129,24.138236221089848,24.25782018564875,-0.11958396455890252
nominal,0.1833333333333333,22.23571217299961,22.24556072145056,-0.00984854845095029,24.2379140826101,24.28024391381452,-0.04232983120441958
nominal,0.2,22.175899762541672,22.26644766807768,-0.09054790553600967,24.26436127760465,24.302177533008585,-0.03781625540393563
nominal,0.2166666666666666,22.25396148759555,22.287864795185605,-0.03390330759005522,24.40760439977641,24.32357358603067,0.08403081374574128
nominal,0.2333333333333333,22.256914455811074,22.309863726717456,-0.052949270906381685,24.36766844185953,24.344400820724054,0.023267621135474315
nominal,0.25,22.468388502033516,22.33246974450947,0.13591875752404547,24.448156738749724,24.364645614158267,0.08351112459145682
nominal,0.2666666666666666,22.21801023890923,22.35567885366486,-0.1376686147556292,24.447827720544808,24.38431262586337,0.06351509468143846
nominal,0.2833333333333333,22.670842320948587,22.379456074347853,0.29138624660073376,24.44486559489791,24.403424651570308,0.04144094332760062
nominal,0.3,22.38965618856394,22.403735277205577,-0.014079088641636872,24.528619706931924,24.42202168385316,0.10659802307876376
nominal,0.3166666666666666,22.605213773676525,22.428420782318536,0.17679299135798843,24.45318667287867,24.44015922073138,0.013027452147287732
nominal,0.3333333333333333,22.371252130582448,22.453390798504888,-0.08213866792243962,24.541754816531597,24.45790589615796,0.08384892037363656
nominal,0.35,22.52310982838496,22.47850260823675,0.044607220148211724,24.42984218792203,24.475340535956107,-0.045498348034076486
nominal,0.3666666666666666,22.53218184019928,22.503599226239025,0.02858261396025341,24.6231489420484,24.49254876787772,0.13060017417067726
nominal,0.3833333333333333,22.40607019867181,22.52851710184386,-0.12244690317205098,24.3728034140194,24.509619333943963,-0.13681591992456177
nominal,0.4,22.46362161720317,22.553094319098754,-0.0894727018955841,24.590972945708724,24.52664026623982,0.06433267946890453
nominal,0.4166666666666667,22.641577578989637,22.577183699661948,0.06439387932768881,24.33867788319923,24.543695093302333,-0.20501721010310092
nominal,0.4333333333333333,22.46803220674858,22.600671478522536,-0.1326392717739573,24.563922392164404,24.56085924290496,0.0030631492594430654
nominal,0.45,22.553849813894622,22.62344407506169,-0.0695942611670688,24.555810916769087,24.57819679845713,-0.022385881688045117
nominal,0.4666666666666667,22.83309994705658,22.64541548592841,0.18768446112817117,24.510433415727444,24.595757750783328,-0.08532433505588344
nominal,0.4833333333333333,22.601115560158966,22.666530204165745,-0.0654146440067791,24.39884696242156,24.613575865395426,-0.21472890297386726
nominal,0.5,22.54005975133026,22.68676427586936,-0.14670452453909988,24.844591969675093,24.631667258472262,0.21292471120283096
nominal,0.5166666666666667,22.74028016218729,22.70612460709324,0.034155555094049106,24.82289950822668,24.65002974378612,0.17286976444055924
nominal,0.5333333333333333,22.58715719011783,22.724646770954827,-0.13748958083699847,24.64482560472452,24.668642979121984,-0.023817374397463453
nominal,0.55,22.77756729508874,22.74239165424882,0.03517564083992042,24.69278494055138,24.687469405793596,0.005315534757784235
nominal,0.5666666666666667,22.79802597207576,22.75944131682011,0.0385846552556508,24.630150219228724,24.7064559401982,-0.07630572096947574
nominal,0.5833333333333334,22.8213364511131,22.775894417291664,0.04544203382143763,24.614493275042737,24.725536343484183,-0.11104306844144674
nominal,0.6,22.80711774718853,22.79186149597829,0.015256251210242766,24.891783363068217,24.7446341657689,0.14714919729931708
nominal,0.6166666666666667,22.84025986532193,22.807460316950515,0.032799548371414744,24.936401157649904,24.76366613623349,0.17273502141641472
nominal,0.6333333333333333,22.952815836018644,22.82281137654875,0.13000445946989458,24.840811375133125,24.782545850934355,0.05826552419877018
nominal,0.65,22.80837650970645,22.83803360505992,-0.029657095353471163,24.80784217874539,24.80118759715947,0.0066545815859200275
nominal,0.6666666666666666,22.928327136494318,22.853240237621183,0.0750868988731348,25.001574762954444,24.819510147189764,0.18206461576468058
nominal,0.6833333333333333,22.932288199847267,22.8685348187575,0.06375338108976791,24.767547312805327,24.8374403556632,-0.06989304285787412
