test_position,true_label,predicted_label,confidence,baseline_probability,top_k_used,top_feature_1,top_shap_1,top_feature_2,top_shap_2,top_feature_3,top_shap_3,top_feature_4,top_shap_4,top_feature_5,top_shap_5
22,nominal,nominal,0.7095265411497785,0.7095265411497785,5,battery_innovation_v,0.03590794771537979,ml_max_ratio,0.034130704151754454,rule_pred_battery_voltage_sensor_drift,0.0331331435694146,rule_detected,0.03261023754231703,ml_battery_ratio,0.031188142651610226
25,nominal,nominal,0.7379254838507763,0.7379254838507763,5,ml_max_ratio,0.03403896859033271,battery_innovation_v,0.03395113086514819,rule_detected,0.033851365150148215,rule_pred_battery_voltage_sensor_drift,0.03377201825977159,physics_confidence,0.032002248410518006
55,nominal,nominal,0.7271373702773577,0.7271373702773577,5,rule_pred_battery_voltage_sensor_drift,0.03545500781465675,battery_innovation_v,0.03292966972257672,rule_detected,0.0325600045375059,physics_confidence,0.031259352837652306,rule_confidence,0.029914135998692807
86,nominal,nominal,0.7409598261050708,0.7409598261050708,5,battery_temp_measured,0.060244139376740516,ml_battery_ratio,0.037103715879896484,rule_pred_battery_voltage_sensor_drift,0.034863783863530576,physics_confidence,0.03205448566839814,battery_soc_measured,0.0315250423419122
109,solar_array_degradation,solar_array_degradation,0.9966785449293702,0.9966785449293702,5,solar_relative_residual,0.15913687283081251,rule_pred_solar_array_degradation,0.08235126059186416,physics_pred_solar_array_degradation,0.07856351824124777,battery_temp_measured,0.0590085406247635,rule_confidence,0.0386917530969079
110,solar_array_degradation,solar_array_degradation,0.9911639751552795,0.9911639751552795,5,solar_relative_residual,0.16378431960525033,rule_pred_solar_array_degradation,0.08059319520920707,physics_pred_solar_array_degradation,0.07532288712089219,battery_temp_measured,0.05871815138474326,rule_confidence,0.03891878894295099
111,solar_array_degradation,solar_array_degradation,0.9995813953488372,0.9995813953488372,5,solar_relative_residual,0.15136709152842504,rule_pred_solar_array_degradation,0.08206582696986388,physics_pred_solar_array_degradation,0.0745377956173346,battery_temp_measured,0.06188655783978329,rule_confidence,0.0380191509689654
112,solar_array_degradation,solar_array_degradation,0.9889169820063326,0.9889169820063326,5,solar_relative_residual,0.15633726204975965,rule_pred_solar_array_degradation,0.08145257425440648,physics_pred_solar_array_degradation,0.07782289926874346,battery_temp_measured,0.0586818846028611,rule_confidence,0.03896820873270768
113,solar_array_degradation,solar_array_degradation,0.9293645396487622,0.9293645396487622,5,solar_relative_residual,0.1521662877820458,rule_pred_solar_array_degradation,0.08076654177743911,physics_pred_solar_array_degradation,0.07561773460099264,battery_temp_measured,0.06154735630885856,rule_confidence,0.037057893103593705
114,solar_array_degradation,solar_array_degradation,0.9907935194492128,0.9907935194492128,5,solar_relative_residual,0.1556221380353552,rule_pred_solar_array_degradation,0.08442173887502849,physics_pred_solar_array_degradation,0.07605581567010467,battery_temp_measured,0.05938395421130301,rule_confidence,0.03885710286279002
