source_dataset,time_h,target_label,in_sunlight,solar_power_w,load_power_w,battery_soc_measured,battery_voltage_measured,battery_current_measured,battery_temp_measured,electronics_temp_measured,wheel_target_speed_rpm,wheel_speed_measured,wheel_current_measured,wheel_temp_measured,battery_soc_rate,battery_voltage_rate,battery_temp_rate,electronics_temp_rate,wheel_speed_rate,wheel_current_rate,wheel_temp_rate,wheel_tracking_error_rpm,solar_relative_residual,battery_innovation_v,battery_temp_residual_c,electronics_temp_residual_c,wheel_current_residual_a,wheel_temp_residual_c,rule_detected,rule_confidence,rule_pred_solar_array_degradation,rule_pred_battery_degradation,rule_pred_thermal_anomaly,rule_pred_reaction_wheel_degradation,rule_pred_battery_voltage_sensor_drift,rule_pred_telemetry_dropout,physics_detected,physics_confidence,physics_pred_solar_array_degradation,physics_pred_battery_degradation,physics_pred_thermal_anomaly,physics_pred_reaction_wheel_degradation,physics_pred_battery_voltage_sensor_drift,physics_pred_telemetry_dropout,ml_power_ratio,ml_battery_ratio,ml_thermal_ratio,ml_wheel_ratio,ml_max_ratio,ml_persistent_anomaly,missing_battery_soc_measured,missing_battery_voltage_measured,missing_battery_current_measured,missing_battery_temp_measured,missing_electronics_temp_measured,missing_wheel_speed_measured,missing_wheel_current_measured,missing_wheel_temp_measured,missing_count
nominal,0.0,nominal,1.0,600.0,350.0,90.4329672254747,29.58368142919373,-8.419188472044928,22.11639309371659,23.827896481134616,3000.0,2993.4891024656886,0.1663471652837853,24.95392816543449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.510897534311425,0.0,0.16885579885746438,0.09415769784250472,-0.19510351886538402,0.0006392020158363376,-0.025299407387485928,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.8229677941200172,0.7914206784533818,1.0011380121314817,0.9806731140661005,1.0011380121314817,0,0,0,0,0,0,0,0,0,0
nominal,0.0166666666666666,nominal,1.0,601.2556165273943,354.1582338163552,90.73636801658104,29.60399781209607,-8.313166126288799,22.121861279071197,24.05283489313776,3103.95584540888,3057.61412873928,0.2020649808369438,24.890005079163533,0.005056679851772354,0.00033860638170561214,9.113642257680965e-05,0.0037489735333857393,1.0687504378931938,0.0005952969258859751,-0.001065384771182624,-46.34171666959992,0.0,0.006611804813005051,0.07799696729415118,0.006603069756124569,0.0023375467112601855,-0.06874339703065857,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.7920350027710769,0.7738450169528728,1.0447293343037132,1.0337408204899208,1.0447293343037132,0,0,0,0,0,0,0,0,0,0
nominal,0.0333333333333333,nominal,1.0,602.5051158172811,358.134732861516,91.17712480810638,29.615368508026727,-8.21711127988946,22.060279591710188,24.051189205726207,3203.3683215379,3124.2684743991504,0.2216352178947671,24.926183740138494,0.00734594652542242,0.00018951159884430523,-0.0010263614560168221,-2.742812352588923e-05,1.110905760997836,0.0003261706176303882,0.0006029776829160246,-79.09984713874974,0.0,0.00017129498253609654,-0.004660445605818353,-0.018486236354526397,0.006112706693370162,-0.012362358565507492,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.7846821078183674,0.7820597645967438,1.0117134687548368,0.9994082778067375,1.0117134687548368,1,0,0,0,0,0,0,0,0,0
nominal,0.05,nominal,1.0,603.7424104347197,361.7557050458495,91.3778083508288,29.64797495009581,-8.143121289983151,22.122510491843528,24.13456687020827,3293.8926261462366,3212.936979148743,0.2314799016690466,24.886084351532592,0.0033447257120402677,0.0005434407011514135,0.0010371816688889979,0.001389627741367742,1.4778084124932094,0.0001640780629046587,-0.0006683231434317112,-80.95564699749366,0.0,0.01834841834895684,0.036943981593182684,0.04127326115959917,0.01070823800435225,-0.03251320131077051,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.7744416133599756,0.7862069179401651,0.9928940998423631,0.9664886632901711,0.9928940998423631,0,0,0,0,0,0,0,0,0,0
nominal,0.0666666666666666,nominal,1.0,604.961472404706,364.8628965095479,91.71831491691016,29.648417356661543,-8.073049855949348,22.21914027694531,24.10563880406175,3371.572412738697,3286.976861051388,0.2153074672017467,24.950927083519133,0.005675109434689319,7.373442762196684e-06,0.0016104964183630461,-0.00048213443577533135,1.23399803171075,-0.00026954057445499846,0.001080712199775687,-84.59555168730913,0.0,-0.0003156169934541708,0.11337406336269495,-0.011394745765485936,-0.004122406078456264,0.05204742302597509,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.7870237430165568,0.7833535534645171,1.002506777715695,0.9971205535152166,1.002506777715695,0,0,0,0,0,0,0,0,0,0
nominal,0.0833333333333333,nominal,1.0,606.156362579862,367.3205080756888,92.32482479473924,29.703341586469097,-8.065085266899967,22.14941477647335,24.15249791315026,3433.0127018922194,3363.188615647855,0.2180051240738408,24.89725667715055,0.010108497963818052,0.0009154038301259011,-0.00116209167453268,0.0007809851514751406,1.2701959099411169,4.496094786823474e-05,-0.0008945067728096963,-69.82408624436448,0.0,0.040418632788572495,0.023604333408933087,0.011668580914072635,0.004357143889740872,0.01788764390197528,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.8303439952783546,0.8336190374150787,0.9955923310139343,0.9887031472433939,0.9955923310139343,0,0,0,0,0,0,0,0,0,0
nominal,0.1,nominal,1.0,607.3212595753644,369.0211303259031,92.66656996068652,29.70325886200755,-8.014567115325283,22.20906957922862,24.018889228625323,3475.5282581475767,3417.2133593241065,0.2023729163066978,24.80893149589708,0.005695752765787887,-1.378741025763001e-06,0.0009942467125878096,-0.0022268114087489483,0.9004123946041924,-0.00026053679611904993,-0.0014720863542245037,-58.31489882347023,0.0,0.01839236066554406,0.06355178921030813,-0.14571558198556644,-0.0023518632714640553,-0.051110227859464175,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.799349450908462,0.7850076910127065,1.029467609969416,0.976181253410359,1.029467609969416,0,0,0,0,0,0,0,0,0,0
nominal,0.1166666666666666,nominal,1.0,608.450488130146,369.8904379073655,92.8307588725631,29.76027973224937,-8.05412859765977,22.262413281232263,24.01999003875516,3497.2609476841367,3456.361906395086,0.1943870728370982,24.887771135724563,0.0027364818646096484,0.0009503478373636299,0.0008890617000607411,1.834683549729969e-05,0.6524757845163246,-0.00013309739115999336,0.0013139939971246997,-40.89904128905073,0.0,0.05795247016456173,0.09713686796269272,-0.16828697716157848,0.0008137653255249899,0.04689778650874388,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.7851662941904505,0.8170416219604099,0.9998409678315092,0.9602208809335442,0.9998409678315092,0,0,0,0,0,0,0,0,0,0
nominal,0.1333333333333333,nominal,1.0,609.5385467561977,369.8904379073655,93.38465184836348,29.7534966783522,-8.071361760783406,22.139017582885064,24.297557431705854,3497.2609476841367,3476.6921179901674,0.1745640298898728,24.731176654169797,0.009231549596673005,-0.0001130508982861637,-0.0020565949724533185,0.004626123215844894,0.3388368599180239,-0.00033038404912042325,-0.002609908025912766,-20.568829693969292,0.0,0.027564579095354702,-0.04597300675114013,0.08579758812571114,-0.006378431616689689,-0.09066297712027449,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.8100858672668382,0.7914065771200254,1.058133647175669,1.0090412046392594,1.058133647175669,0,0,0,0,0,0,0,0,0,0
nominal,0.15,nominal,1.0,610.5801345412646,369.0211303259031,93.4179788790965,29.758989595773485,-8.116975108553438,22.274111025555715,24.19224261323044,3475.5282581475767,3477.38114733646,0.1706429844540182,24.778169445820502,0.0005554505122169929,9.154862368809802e-05,0.0022515573778441934,-0.0017552469745902262,0.011483822438208335,-6.535075726424311e-05,0.0007832131941784226,1.8528891888831822,0.0,0.014505723384480973,0.06932763681389531,-0.04272526463365267,0.0031279519698366454,-0.024747723177622305,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0.7979802611986373,0.7808467802127943,1.0074759734463068,0.9579787745880234,1.0074759734463068,0,0,0,0,0,0,0,0,0,0
